127.0.0.1 - - [26/Jan/2024:10:47:32 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:47:34 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:48:58 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:49:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:49:07 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:49:11 +0900] "GET /myapp/mainList HTTP/1.1" 200 12083
0:0:0:0:0:0:0:1 - - [26/Jan/2024:10:51:02 +0900] "GET /myapp/detail?seq=83&userId=xxx1&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5290
0:0:0:0:0:0:0:1 - - [26/Jan/2024:11:25:42 +0900] "GET /myapp/mainList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:11:25:42 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [26/Jan/2024:11:26:00 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:11:26:01 +0900] "GET /myapp/mainList HTTP/1.1" 200 12083
0:0:0:0:0:0:0:1 - - [26/Jan/2024:11:31:37 +0900] "GET /myapp/detail?seq=83&userId=xxx1&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5290
0:0:0:0:0:0:0:1 - - [26/Jan/2024:11:31:39 +0900] "GET /myapp/mainList HTTP/1.1" 200 12083
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:24:58 +0900] "GET /myapp/detail?seq=83&userId=xxx1&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5290
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:25:00 +0900] "GET /myapp/mainList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:13:25:00 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
