127.0.0.1 - - [20/Dec/2023:10:36:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:36:45 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:37:29 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1726
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:37:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:38:10 +0900] "POST /myapp/checkId HTTP/1.1" 500 23375
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:39:33 +0900] "POST /myapp/checkId HTTP/1.1" 500 23375
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:41:16 +0900] "POST /myapp/checkId HTTP/1.1" 500 23375
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:42:42 +0900] "POST /myapp/checkId HTTP/1.1" 500 28582
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:42:44 +0900] "POST /myapp/checkId HTTP/1.1" 500 8206
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:43:08 +0900] "POST /myapp/checkId HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:43:18 +0900] "GET /myapp/search?id=asdf&searchType=writer&searchKeyword=%EC%86%A1&approveStatus= HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:43:21 +0900] "GET /myapp/search?id=asdf&searchType=all&searchKeyword=%EA%B9%80&approveStatus= HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:43:25 +0900] "GET /myapp/search?id=asdf&searchType=writer&searchKeyword=%EA%B9%80&approveStatus= HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:43:30 +0900] "GET /myapp/search?id=asdf&searchType=writer&searchKeyword=%EC%86%A1&approveStatus= HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:46:48 +0900] "GET /myapp/search?id=asdf&searchType=writer&searchKeyword=%EA%B9%80&approveStatus= HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:46:52 +0900] "GET /myapp/search?id=asdf&searchType=writer&searchKeyword=%EC%86%A1&approveStatus= HTTP/1.1" 200 4514
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:46:59 +0900] "GET /myapp/search?id=asdf&searchType=approver&searchKeyword=%EA%B9%80&approveStatus= HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:47:02 +0900] "GET /myapp/search?id=asdf&searchType=approver&searchKeyword=&approveStatus= HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:47:08 +0900] "GET /myapp/search?id=asdf&searchType=all&searchKeyword=&approveStatus= HTTP/1.1" 200 3061
0:0:0:0:0:0:0:1 - - [20/Dec/2023:10:47:17 +0900] "POST /myapp/logout HTTP/1.1" 302 -
