127.0.0.1 - - [04/Jan/2024:10:35:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:35:36 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:35:46 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:35:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:36:45 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:36:46 +0900] "GET /myapp/mainList HTTP/1.1" 200 18730
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:36:55 +0900] "GET /myapp/detail?seq=69&userId=asdf&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5423
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:36:56 +0900] "GET /myapp/mainList HTTP/1.1" 200 18730
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:36:57 +0900] "GET /myapp/payWriteForm?id=asdf&userName=%BC%DB%BC%BA%B1%D9&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:01 +0900] "POST /myapp/submitWriteForm HTTP/1.1" 200 18957
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:02 +0900] "POST /myapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:02 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:06 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:06 +0900] "GET /myapp/mainList HTTP/1.1" 200 20252
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:08 +0900] "GET /myapp/detail?seq=75&userId=xxx7&userRank=%B0%FA%C0%E5 HTTP/1.1" 200 5282
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:10 +0900] "POST /myapp/updateBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:10 +0900] "GET /myapp/mainList HTTP/1.1" 200 20274
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:12 +0900] "POST /myapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:12 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:15 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:16 +0900] "GET /myapp/mainList HTTP/1.1" 200 13784
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:17 +0900] "GET /myapp/detail?seq=75&userId=xxx10&userRank=%BA%CE%C0%E5 HTTP/1.1" 200 5422
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:20 +0900] "POST /myapp/updateBoard HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:20 +0900] "GET /myapp/mainList HTTP/1.1" 200 13787
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:21 +0900] "GET /myapp/detail?seq=75&userId=xxx10&userRank=%BA%CE%C0%E5 HTTP/1.1" 200 5530
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:23 +0900] "GET /myapp/mainList HTTP/1.1" 200 13787
0:0:0:0:0:0:0:1 - - [04/Jan/2024:10:37:56 +0900] "GET /myapp/search?id=xxx10&searchType=writer&searchKeyword=%EC%9D%B4%EB%AF%BC%EC%A4%80&approveStatus=&startDate=&endDate= HTTP/1.1" 200 7075
