127.0.0.1 - - [16/Jan/2024:10:44:28 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:44:29 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:44:37 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 25009
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:49:28 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:49:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:49:42 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 25009
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:55:14 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 25009
0:0:0:0:0:0:0:1 - - [16/Jan/2024:10:59:10 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 25009
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:02:29 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:06:31 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:08:23 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:10:18 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:10:32 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:11:34 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:11:30:06 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:20:41 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:22:21 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:24:04 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:25:04 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:26:18 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:27:33 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:28:07 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:29:09 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:29:25 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:30:03 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:31:04 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:31:26 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:33:51 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:33:53 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:34:10 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:34:52 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:35:16 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:36:05 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:38:25 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:52:17 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:52:47 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:53:27 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:54:06 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:55:23 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:13:55:58 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:04:16 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:08:21 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:12:02 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:13:31 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239845
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:15:10 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:16:35 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:17:32 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:20:02 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:20:30 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:25:15 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:28:16 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:38:11 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:53:14 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:55:38 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:14:55:50 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:11:52 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:14:34 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:14:37 +0900] "GET /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:18:18 +0900] "POST /myapp/nexaConn HTTP/1.1" 500 3566
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:22:41 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:23:51 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:47:18 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:48:23 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:50:47 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:56:36 +0900] "POST /myapp/nexaConn HTTP/1.1" 500 3890
0:0:0:0:0:0:0:1 - - [16/Jan/2024:15:58:01 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:00:22 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:05:23 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:06:27 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:07:15 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:07:31 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 13754
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:25:01 +0900] "POST /myapp/nexaConn HTTP/1.1" 500 3566
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:28:58 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:30:27 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:33:51 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:33:59 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:34:08 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 239842
0:0:0:0:0:0:0:1 - - [16/Jan/2024:16:34:23 +0900] "POST /myapp/nexaConn HTTP/1.1" 200 2679
