127.0.0.1 - - [30/Jan/2024:10:40:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:01 +0900] "GET /myapp/ HTTP/1.1" 404 822
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:35 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:41 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:42 +0900] "GET /myapp/mainList HTTP/1.1" 200 13825
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:45 +0900] "GET /myapp/detail?seq=87&userId=xxx1&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5594
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:41:55 +0900] "GET /myapp/mainList HTTP/1.1" 200 13825
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:43:11 +0900] "GET /myapp/detail?seq=86&userId=xxx1&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5614
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:43:15 +0900] "GET /myapp/mainList HTTP/1.1" 200 13825
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:43:30 +0900] "GET /myapp/detail?seq=82&userId=xxx1&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 5589
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:38 +0900] "GET /myapp/payWriteForm?id=xxx1&userName=%B1%E8%C1%F6%C0%BA&userRank=%BB%E7%BF%F8 HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:45 +0900] "POST /myapp/submitWriteForm HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:45 +0900] "GET /myapp/mainList HTTP/1.1" 200 14226
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:48 +0900] "POST /myapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:48 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:52 +0900] "POST /myapp/checkId HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:53 +0900] "GET /myapp/mainList HTTP/1.1" 200 24476
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:54 +0900] "GET /myapp/instead HTTP/1.1" 200 6750
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:54 +0900] "GET /myapp/delegateList?loggedInUserId=xxx10&loggedInUserName=%EA%B9%80%EC%84%9C%EC%97%B0&loggedInUserRank=%EB%B6%80%EC%9E%A5 HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:58 +0900] "GET /myapp/getDelegateRank?delegateId=xxx4 HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:46:58 +0900] "GET /myapp/approveDelegate?loggedInUserId=xxx10&delegateId=xxx4 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:47:01 +0900] "POST /myapp/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Jan/2024:10:47:01 +0900] "GET /myapp/payLogin HTTP/1.1" 200 1683
